P0 id;Nivel_PowerBI;Nivel_Qlik;Nivel_Tableau;Nivel_Metabase;Nivel_Looker;Nivel_Looker_Studio;Nivel_Amazon_Quicksight;Nivel_Alteryx;Nivel_Grafana;Nivel_Pentaho;Nivel_Excel;Domina_PowerBI;Domina_Qlik;Domina_Tableau;Domina_Metabase;Domina_Looker;Domina_Looker_Studio;Domina_Amazon_Quicksight;Domina_Alteryx;Domina_Grafana;Domina_Pentaho;Domina_Excel;UF;Idade
0r46flon90jl4hvi0r46flwm5jfomrq3;0,5;0,0;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;PR;40-44
0rchsejnsxoklvzbq790rchsejne0bpi;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;MG;30-34
0rcm0gxoact3bzh06knd13ubjeo64v14;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;0;0;0;0;0;0;0;0;0;0;RS;35-39
0rjkvzh2lso0ry6omu8uk030mxjr0q6f;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;0;0;0;0;0;0;0;0;0;0;RS;30-34
0rvvo787yq3mthe5ga0rvvh4rbm4u4gc;0,5;0,0;0,0;0,0;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;ES;25-29
0rzo8uhs2710bhyk0rzo8up4313jz70o;0,5;0,0;0,5;0,0;1,0;0,5;0,0;0,5;0,0;0,0;0,0;0;0;0;0;1;0;0;0;0;0;0;SP;30-34
0s15dzpqa7lus1ast0s1578mskf2illz;0,5;0,0;0,0;0,5;0,5;0,5;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;PR;30-34
0s7x7lc2foi894m6pogxa0s7x7ltfytz;0,5;0,0;0,0;0,0;0,5;0,5;0,0;0,0;0,0;0,0;0,5;0;0;0;0;0;0;0;0;0;0;0;PR;25-29
0saxujz921fw22ii6pq0saxff4o4ykqm;1,0;0,0;0,0;0,0;0,5;0,5;0,0;0,0;0,0;0,0;0,0;1;0;0;0;0;0;0;0;0;0;0;PI;25-29
0sb17993f17dly32q0sb17m6cgr8m8fg;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;MG;50-54
0sg4y3cvdcrbe0sgrq7glk1l8ky7rrq7;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;0;0;0;0;0;0;0;0;0;0;;35-39
0sw1v2544zjyapntd00sw6qtn1mommv9;1,0;0,0;0,0;0,0;0,5;0,0;0,0;0,0;0,5;0,0;0,0;1;0;0;0;0;0;0;0;0;0;0;SP;35-39
0t14vkhnpaohc7nvnli0t14lryhv5mz3;0,0;0,0;0,5;0,5;0,5;0,5;0,0;0,0;0,5;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;ES;30-34
0t33h6p5dhvgrz7e2vr0t33h6pxixdye;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;MG;50-54
0tcnmlmc7ue14l3fz6im8tb20tcnmlmc;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;SP;25-29
0tdknv0eelzci9e0jl1z5j0tdknft4xm;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;;25-29
0tfplcdk2bzhdl40tfplcfu3vgiv4k4x;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;ES;25-29
0tx7atz5i766r431a00v0tx7atz7xanx;1,0;0,0;0,0;0,5;0,5;0,5;0,0;0,0;0,0;0,0;0,0;1;0;0;0;0;0;0;0;0;0;0;SP;35-39
0u56ftri7si1mms0u56foo9gircbx9mq;0,0;0,0;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;SP;40-44
0u70ebhsoogwg3qdnb20u7kldlweuu0x;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,5;1;0;0;0;0;0;0;0;0;0;0;RJ;30-34
